"","city","avgRating"
"94","Woods Creek",NA
"95","McKenna",0.928
"96","Revere",NA
"97","Kalama",NA
"98","Grandview",NA
"99","Winthrop",NA
"100","Maltby",NA
"101","Spangle",NA
"102","Blanchard",0.912
"103","Artondale",0.913
"104","May Creek",NA
"105","Home",0.92
"106","Vashon",0.907
"107","Snoqualmie Falls",0.901
"108","Laurier",NA
"109","Quincy",NA
"110","Lake McMurray",NA
"111","Martha Lake",NA
"112","Ariel",NA
"113","Loon Lake",NA
"114","Thornton",NA
"115","Starbuck",NA
"116","Ronald",NA
"117","Kelso",NA
"118","Meadowdale",NA
"119","Cottage Lake",0.906
"120","Cheney",NA
"121","Woodway",NA
"122","Lacey",0.93
"123","Harrah",NA
"124","Allyn",0.914
"125","South Bend",NA
"126","Barstow",NA
"127","Tiger",NA
"128","Warden",NA
"129","Junction City",NA
"130","Blyn",0.894
"131","Lakebay",0.928
"132","Tahuya",0.908
"133","Waukon",NA
"134","Kitsap Lake",0.908
"135","Sultan",NA
"136","Plain",NA
"137","Tanner",NA
"138","Stehekin",NA
"139","Edmonds",NA
"140","North Hill",0.907
"141","Zillah",NA
"142","Monse",NA
"143","Lake Forest Park",NA
"144","Chinook",NA
"145","Albion",NA
"146","Skykomish",NA
"147","Yakima",NA
"148","Pacific",0.908
"149","Wishram",NA
"150","Cascade Valley",NA
"151","Cathcart",NA
"152","Brush Prairie",0.904
"153","Amboy",0.896
"154","Centerville",NA
"155","Verlot",NA
"156","Alstown",NA
"157","Synarep",NA
"158","Annapolis",0.908
"159","Port Gamble",NA
"160","Eatonville",NA
"161","Similk Beach",0.915
"162","Cougar",NA
"163","Eglon",NA
"164","Paterson",NA
"165","Tenino",NA
"166","Minnehaha",0.91
"167","Raymond",NA
"168","Alger",0.914
"169","Roy",0.924
"170","Almira",NA
"171","Fragaria",0.907
"172","Green Bluff",NA
"173","Woodmont Beach",0.907
"174","Frances",0.904
"175","Lynden",0.898
"176","Clayton",NA
"177","Everson",0.884
"178","White Swan",NA
"179","Camano",NA
"180","Cedar Grove",0.905
"181","Winton",NA
"182","East Olympia",0.933
"183","Sunset Beach",0.918
"184","Belfair",0.911
"185","Oso",NA
"186","Federal Way",0.907
"187","Scandia",NA
"188","Quilcene",NA
"189","Covada",NA
"190","Keyport",NA
"191","Juanita",NA
"192","Molson",NA
"193","Daisy",NA
"194","Sumas",0.881
"195","Mill Creek",NA
"196","Lakewood",0.935
"197","Venersborg",0.903
"198","West Lake Sammamish",0.905
"199","Port Angeles",0.875
"200","Longview",NA
"201","Fairmont",NA
"202","Wapato",NA
"203","East Port Orchard",0.907
"204","North Omak",NA
"205","East Farms",NA
"206","Eschbach",NA
"207","Chattaroy",NA
"208","Inchelium",NA
"209","Maxwelton",NA
"210","White Center",0.908
"211","Medical Lake",NA
"212","Lyman",NA
"213","Arlington",NA
"214","Ruston",0.91
"215","McCleary",NA
"216","Sammamish",NA
"217","Covington",0.903
"218","McMillin",0.929
"219","La Grande",NA
"220","Cromwell",0.914
"221","Berrydale",0.903
"222","Wenatchee",NA
"223","Urban",0.911
"224","Maplewood",0.907
"225","Marys Corner",NA
"226","Mattawa",NA
"227","Cove",0.907
"228","Chico",0.907
"229","Maple Falls",NA
"230","Colvos",0.907
"231","Ames Lake",NA
"232","Ellisforde",NA
"233","Selah",NA
"234","Pine Lake",0.904
"235","Tampico",NA
"236","Colton",NA
"237","Usk",NA
"238","Cle Elum",NA
"239","Omak",NA
"240","Eureka",NA
"241","Harrington",NA
"242","Sedro-Woolley",0.911
"243","Cherry Grove",0.898
"244","La Push",0.92
"245","Lake Ketchum",NA
"246","Arletta",0.914
"247","Opportunity",NA
"248","Glenoma",NA
"249","Curlew",NA
"250","Hartline",NA
"251","Midland",0.93
"252","Adna",NA
"253","Roslyn",NA
"254","Deer Park",NA
"255","Tracyton",0.908
"256","Hunts Point",0.905
"257","Koontzville",NA
"258","Fruitland",NA
"259","Chewelah",NA
"260","Mohler",NA
"261","East Renton Highlands",0.905
"262","Sunnyside",NA
"263","Long Lake",NA
"264","Wauna",0.913
"265","Liberty",NA
"266","Normandy Park",0.907
"267","Mirrormont",0.905
"268","Parkwood",0.908
"269","Jamestown",0.876
"270","Forks",0.926666666666667
"271","Wallula",NA
"272","Nighthawk",NA
"273","SeaTac",0.907
"274","Royal City",NA
"275","Beaux Arts Village",0.908
"276","Steilacoom",0.933
"277","Northport",NA
"278","Eldon",NA
"279","Ridgefield",0.885
"280","Ryderwood",NA
"281","Manchester",0.908
"282","Vashon Heights",0.906
"283","Salmon Creek",0.904
"284","Vantage",0.906
"285","Creston",NA
"286","Soap Lake",NA
"287","Silver Firs",NA
"288","Plaza",NA
"289","Machias",NA
"290","Neah Bay",NA
"291","Malo",NA
"292","Clyde Hill",0.904
"293","Marlin",NA
"294","North Yelm",0.928
"295","Grand Coulee",NA
"296","Outlook",NA
"297","Clinton",NA
"298","Evans",NA
"299","Browns Point",0.907
"300","Kennewick",NA
"301","North Marysville",NA
"302","Beaver Valley",NA
"303","Ahtanum",NA
"304","Carbonado",0.919
"305","Hyak",NA
"306","Arlington Heights",NA
"307","North Sultan",NA
"308","Pullman",NA
"309","Wymer",NA
"310","Adelaide",0.907
"311","Peaceful Valley",NA
"312","West Richland",NA
"313","Fife Heights",0.908
"314","Manson",NA
"315","Sprague",NA
"316","Cosmopolis",NA
"317","Redondo",0.907
"318","Waller",0.915
"319","Addy",NA
"320","Matlock",NA
"321","Longbranch",0.926
"322","North Bonneville",NA
"323","Pomeroy",NA
"324","Colville",NA
"325","Palmer",0.904
"326","Skyway",0.908
"327","Medina",0.908
"328","Algona",0.908
"329","Nine Mile Falls",NA
"330","Black Diamond",0.905
"331","Gold Bar",NA
"332","Mesa",NA
"333","Cavalero Corner",NA
"334","Lilliwaup",0.906
"335","La Conner",0.929
"336","Sheridan Beach",NA
"337","Emden",NA
"338","Markham",NA
"339","Eltopia",NA
"340","Stevenson",NA
"341","Greenwater",NA
"342","Copalis Beach",NA
"343","Roosevelt",NA
"344","La Crosse",NA
"345","Summit",0.929
"346","Ohop",NA
"347","Malden",NA
"348","Beverly",NA
"349","Prosser",NA
"350","Lake Roesiger",NA
"351","Fern Prairie",0.91
"352","Maple Valley",0.905
"353","Gifford",NA
"354","Auburn",0.907
"355","Burton",0.907
"356","Kewa",NA
"357","Carrolls",NA
"358","Bayne",0.907
"359","East Cathlamet",NA
"360","Purdy",0.907
"361","Kapowsin",NA
"362","Ketron",0.933
"363","Connell",NA
"364","Lincoln",NA
"365","Clear Lake",0.915
"366","Kittitas",NA
"367","Bucoda",NA
"368","Ardenvoir",NA
"369","Ellisport",0.907
"370","Bainbridge Island",0.908
"371","Danville",NA
"372","Hazelwood",0.908
"373","Holly",0.898
"374","Valley",NA
"375","Republic",NA
"376","Odessa",NA
"377","Edgewood",0.908
"378","Burlington",0.916
"379","Rice",NA
"380","Marengo",NA
"381","Cusick",NA
"382","Virginia",NA
"383","Concrete",NA
"384","Langley",NA
"385","Othello",NA
"386","North City",NA
"387","Hazel Dell",0.91
"388","Colfax",NA
"389","Metaline",NA
"390","Randle",NA
"391","Millwood",NA
"392","Snoqualmie Pass",NA
"393","Bangor",NA
"394","Thorp",NA
"395","Tahlequah",0.907
"396","Prescott",NA
"397","Buckley",0.919
"398","Dalkena",NA
"399","Leland",NA
"400","Fruitvale",NA
"401","Port Hadlock",NA
"402","University Place",0.92
"403","Morton",NA
"404","Deep River",NA
"405","Elberton",NA
"406","Kingston",NA
"407","Silverton",NA
"408","Vader",NA
"409","Donald",NA
"410","Miles",NA
"411","Asotin",NA
"412","Joyce",NA
"413","Eagledale",0.908
"414","Port Ludlow",NA
"415","Loomis",NA
"416","New London",NA
"417","Desert Aire",NA
"418","Poulsbo",NA
"419","Cedonia",NA
"420","Union",0.917
"421","Suquamish",NA
"422","Deep Creek",NA
"423","Yoman",0.926
"424","Cordell",NA
"425","Hoquiam",NA
"426","Hay",NA
"427","Nespelem",NA
"428","Ephrata",NA
"429","Kent",0.907
"430","Mukilteo",NA
"431","Boise",0.922
"432","Kirkland",NA
"433","Waitsburg",NA
"434","Ridgecrest",NA
"435","Freeman",NA
"436","Dallesport",NA
"437","Redmond",0.906
"438","Wilkeson",0.919
"439","Sisco Heights",NA
"440","Lewisville",0.903
"441","Kennard Corner",NA
"442","Benge",NA
"443","Granger",NA
"444","Yarrow Point",0.905
"445","Lost Creek",NA
"446","Moxee City",NA
"447","Hockinson",0.91
"448","Oakville",NA
"449","Tukwila",0.907
"450","Mabana",NA
"451","Kangley",0.905
"452","Clallam Bay",NA
"453","Newport",NA
"454","Enetai",0.908
"455","Clearview",NA
"456","Sahalee",0.906
"457","Yelm",0.928
"458","Midway",0.913
"459","Olympia",0.931
"460","Endicott",NA
"461","Lind",0.922857142857143
"462","Fife",0.908
"463","Newport Hills",0.904
"464","Upper Mill",0.918
"465","Upper Preston",0.902
"466","Pateros",NA
"467","Nordland",NA
"468","Tyler",NA
"469","Camden",NA
"470","Palisades",NA
"471","Rockport",NA
"472","Port Orchard",0.907
"473","Preston",0.902
"474","Tieton",NA
"475","Rochester",NA
"476","Bingen",NA
"477","Harbour Pointe",NA
"478","Wellpinit",NA
"479","Glacier",NA
"480","Farmington",NA
"481","Eastsound",0.9
"482","Central Park",NA
"483","Bremerton",0.908
"484","Friday Harbor",0.888
"485","Carnation",NA
"486","Lake Shore",0.904
"487","Houghton",0.906
"488","Lester",NA
"489","Lake Stevens",NA
"490","Mineral",NA
"491","Lake Stickney",NA
"492","Acme",0.913
"493","Oyehut",NA
"494","Mossyrock",NA
"495","Bridgeport",NA
"496","Fobes Hill",NA
"497","Rosario",0.908
"498","Brewster",NA
"499","Fox Island",0.92
"500","Canyon Park",NA
"501","Rock Island",NA
"502","High Rock",NA
"503","Rockford",NA
"504","Erlands Point",0.908
"505","Montesano",NA
"506","Gorst",0.907
"507","Johnson",NA
"508","Alderton",0.917
"509","Dusty",NA
"510","Tekoa",NA
"511","Bay Center",NA
"512","La Center",0.882
"513","Mazama",NA
"514","Selleck",0.906
"515","Amanda Park",NA
"516","Doris",0.905454545454546
"517","Sunnydale",0.907
"518","Van Zandt",NA
"519","McDonald",NA
"520","Moclips",NA
"521","Ocean Park",NA
"522","West Valley",NA
"523","Thompson Place",0.93
"524","Dungeness",0.872
"525","Birch Bay",0.871
"526","Stratford",NA
"527","Ione",NA
"528","Tacoma",0.91
"529","Barberton",0.904
"530","Yacolt",0.898
"531","Coulee Dam",NA
"532","Almota",NA
"533","Skamokawa",NA
"534","Woodinville",NA
"535","Swinomish Village",0.929
"536","Methow",NA
"537","Bay View",0.914
"538","Newaukum",0.905
"539","Kalaloch",0.936
"540","Meadow Glade",0.904
"541","Disautel",NA
"542","Copalis Crossing",NA
"543","Burley",0.907
"544","Riverside",0.906666666666667
"545","Ocean Shores",NA
"546","Bethel",0.907
"547","Grisdale",NA
"548","South Hill",0.929
"549","Island View",NA
"550","Winona",NA
"551","Leadpoint",NA
"552","Brooklyn",NA
"553","Mansfield",NA
"554","Sequim",0.875
"555","Esperance",NA
"556","Springdale",NA
"557","Okanogan",NA
"558","Cedar Mountain",0.905
"559","Moses Lake",NA
"560","Littlerock",NA
"561","Trentwood",NA
"562","Mabton",NA
"563","Klickitat",NA
"564","Puyallup",0.917
"565","Cinebar",NA
"566","San de Fuca",0.911
"567","Cathlamet",NA
"568","Richardson",0.902
"569","Sumner",0.908
"570","Davenport",NA
"571","Cliffdell",NA
"572","Fall City",NA
"573","Dockton",0.907
"574","Conway",NA
"575","Marshall",NA
"576","Walla Walla",NA
"577","Canterwood",0.908
"578","Lexington",NA
"579","Country Homes",NA
"580","Altoona",NA
"581","South Cle Elum",NA
"582","Waldron",0.901
"583","Chesaw",NA
"584","Sunnyslope",0.907
"585","Olympic View",NA
"586","Hood",NA
"587","Elbe",NA
"588","Venice",NA
"589","Cumberland",0.907
"590","Ostrander",NA
"591","Cohassett Beach",NA
"592","Deming",NA
"593","Sekiu",NA
"594","Terrace Heights",NA
"595","Nemah",NA
"596","Neilton",NA
"597","Grays River",NA
"598","Ashford",NA
"599","Boistfort",NA
"600","Shore Acres",0.913
"601","Bothell",NA
"602","South Broadway",NA
"603","Edwall",NA
"604","Georgetown",0.905
"605","Maryhill",NA
"606","Huntsville",NA
"607","Greenbank",NA
"608","Murphys Corner",NA
"609","Tokeland",NA
"610","Felida",0.904
"611","Fairview",0.908
"612","Tumwater",0.932
"613","Uniontown",NA
"614","Coupeville",NA
"615","River Road",0.873
"616","Duvall",0.906
"617","Marcus",NA
"618","Seattle Heights",NA
"619","Strandell",0.884
"620","Key Center",0.914
"621","Hanford",NA
"622","Grand Mound",NA
"623","Taholah",0.936666666666667
"624","Port Blakely",0.908
"625","Malone",NA
"626","Boston Harbor",0.934
"627","Rainier",0.929
"628","Menlo",NA
"629","Azwell",NA
"630","Glendale",NA
"631","Monroe",NA
"632","Sawyer",NA
"633","Clarkston",NA
"634","Spanaway",0.928
"635","Gig Harbor",0.908
"636","Big Lake",0.932
"637","Smyrna",NA
"638","Carlton",NA
"639","Monitor",NA
"640","Des Moines",0.907
"641","Lucerne",NA
"642","Carlisle",NA
"643","Metaline Falls",NA
"644","Breidablick",NA
"645","Snohomish",NA
"646","Richland",NA
"647","Parkland",0.931
"648","Veradale",NA
"649","Kummer",0.905
"650","Woodland",0.886
"651","Washougal",0.91
"652","Boyds",NA
"653","Bonney Lake",0.92
"654","South Prairie",0.919
"655","Larimers Corner",NA
"656","Porter",NA
"657","Lisabeula",0.907
"658","Saint John",NA
"659","Spokane Valley",NA
"660","Lake Cavanaugh",NA
"661","Bellevue",0.905
"662","Custer",0.896
"663","Orcas",0.907
"664","Diablo",NA
"665","Christopher",0.907
"666","Midvale Corner",NA
"667","Marysville",NA
"668","Newcastle",0.904
"669","North Bend",0.904
"670","Snoqualmie",0.905
"671","Three Lakes",NA
"672","Kendall",NA
"673","Kanaskat",0.905
"674","Schrag",NA
"675","Wilbur",NA
"676","Enumclaw",0.923
"677","Nile",NA
"678","Alderwood Manor",NA
"679","Clarkston Heights",NA
"680","Pacific Beach",NA
"681","Napavine",NA
"682","Hatton",NA
"683","Shelton",NA
"684","Chimacum",NA
"685","Naselle",NA
"686","Grotto",NA
"687","Sunrise Beach",0.913
"688","Bellingham",0.904
"689","Castle Rock",NA
"690","Pine City",NA
"691","Nooksack",0.884
"692","Elma",NA
"693","Kenmore",NA
"694","Ellensburg",NA
"695","Belmont",NA
"696","DuPont",0.93
"697","Long Beach",NA
"698","Seabeck",0.905
"699","Granite Falls",NA
"700","Tonasket",NA
"701","Otis Orchards",NA
"702","Milton",0.908
"703","West Pasco",NA
"704","Badger",NA
"705","Lamont",NA
"706","Ravensdale",0.905
"707","Rollingbay",NA
"708","Rocky Point",0.908
"709","Garrett",NA
"710","Palouse",NA
"711","Grayland",NA
"712","Gilberton",0.908
"713","Withrow",NA
"714","Stanwood",NA
"715","Ayer",NA
"716","Sudden Valley",0.906
"717","Meridian",0.908
"718","Aberdeen Gardens",NA
"719","Possession",NA
"720","Benton City",NA
"721","Bickleton",NA
"722","Elmer City",NA
"723","Doty",NA
"724","East Wenatchee",NA
"725","Newman Lake",NA
"726","Freeland",NA
"727","Indianola",NA
"728","Cowiche",NA
"729","Husum",NA
"730","Alderdale",NA
"731","Lamona",NA
"732","Skokomish",NA
"733","Vaughn",0.911
"734","Ruby",NA
"735","Bryant",NA
"736","Coalfield",0.904
"737","Swede Heaven",NA
"738","Spokane",NA
"739","Brady",NA
"740","Spring Glen",0.905
"741","Hoodsport",0.922
"742","Leavenworth",NA
"743","Tanglewilde",0.93
"744","Bow",0.911
"745","Carlsborg",0.876
"746","North Lynnwood",NA
"747","Cedar Falls",0.904
"748","Chelan",NA
"749","Wilson Creek",NA
"750","Latah",NA
"751","Brownsville",NA
"752","Amber",NA
"753","Zenith",0.907
"754","Goodnoe Hills",NA
"755","Camas",0.91
"756","Olalla",0.907
"757","Basin City",NA
"758","Blaine",0.87
"759","Oroville",NA
"760","Orchards",0.91
"761","Union Gap",NA
"762","Mead",NA
"763","Manzanita",NA
"764","Pasco",NA
"765","Touchet",NA
"766","Pe Ell",NA
"767","Baring",NA
"768","Sappho",0.945
"769","Hunters",NA
"770","Gleed",NA
"771","Fairfield",NA
"772","Torboy",NA
"773","Cashmere",NA
"774","Willapa",NA
"775","Issaquah",0.905
"776","Toppenish",NA
"777","Finley",NA
"778","Darrington",NA
"779","Picnic Point",NA
"780","Aeneas",NA
"781","Cedarhurst",0.907
"782","Four Lakes",NA
"783","Dayton",NA
"784","Port Madison",NA
"785","Orting",0.926
"786","Wheeler",NA
"787","Fircrest",0.916
"788","Lebam",0.923
"789","Marrowstone",NA
"790","North Puyallup",0.912
"791","Five Corners",0.904
"792","Graham",0.928
"793","Longview Heights",NA
"794","Hobart",0.905
"795","Point Roberts",0.862
"796","Town and Country",NA
"797","Lake Hills",0.904
"798","Rosedale",0.913
"799","Irondale",NA
"800","Dishman",NA
"801","Bayview",0.914
"802","Conconully",0.92
"803","Entiat",NA
"804","Lochsloy",NA
"805","Brinnon",0.908
"806","Seahurst",0.907
"807","Dixie",NA
"808","Eastgate",0.904
"809","Blockhouse",NA
"810","Buena",NA
"811","Grapeview",0.917
"812","Startup",NA
"813","Hayford",NA
"814","Bell Hill",0.875
"815","Westport",NA
"816","Southworth",0.908
"817","Twisp",NA
"818","Milan",NA
"819","Ritzville",NA
"820","Lake Goodwin",NA
"821","McMurray",NA
"822","Portage",0.907
"823","Lake Bosworth",NA
"824","Fords Prairie",NA
"825","Longmire",NA
"826","Carson",NA
"827","Mount Vista",0.904
"828","Vancouver",0.91
"829","Chelan Falls",NA
"830","Espanola",NA
"831","Battle Ground",0.904
"832","Summitview",NA
"833","Geneva",0.907
"834","Queets",0.936
"835","Wollochet",0.913
"836","College Place",NA
"837","Garfield",NA
"838","Ruff",NA
"839","Ewan",NA
"840","Glenwood",NA
"841","Riverbend",0.904
"842","Trout Lake",NA
"843","Mount Vernon",0.932
"844","Ferndale",0.894
"845","Hansville",NA
"846","Wickersham",0.914
"847","White Salmon",NA
"848","Oysterville",NA
"849","Aberdeen",NA
"850","Melbourne",NA
"851","Plymouth",NA
"852","Winlock",NA
"853","Satsop",NA
"854","Merritt",NA
"855","Shoreline",NA
"856","Peshastin",NA
"857","Marble",NA
"858","South Snohomish",NA
"859","Richmond Highlands",NA
"860","Goldendale",NA
"861","Nisqually",0.93
"862","Tillicum",0.93
"863","Anatone",NA
"864","Tulalip",NA
"865","Orient",NA
"866","Dieringer",0.908
"867","Frederickson",0.928
"868","Keller",NA
"869","Marblemount",NA
"870","Turner",NA
"871","Silvana",NA
"872","Everett",NA
"873","Burien",0.907
"874","Riner",NA
"875","Powhatan",0.916
"876","Natural Bridge",NA
"877","Chamberlayne Heights",0.913
"878","Manassas Park",0.914
"879","McClure",NA
"880","Brownsburg",NA
"881","Burgess",0.924
"882","Lake Barcroft",0.914
"883","Clover",NA
"884","Columbia",NA
"885","Verona",NA
"886","Fairfax",0.914
"887","Falmouth",0.909
"888","Scottsburg",NA
"889","Ashburn",0.913
"890","Big Stone Gap",NA
"891","Gwynn",0.907
"892","Jewell Valley",NA
"893","Waynesboro",NA
"894","University Heights",NA
"895","Batesville",NA
"896","Whitetop",NA
"897","Nellysford",NA
"898","Montrose",0.913
"899","Lexington",NA
"900","Clinchco",NA
"901","Dante",NA
"902","Ivor",0.909
"903","Montross",0.926
"904","Wintergreen",NA
"905","Vesta",NA
"906","Henry",NA
"907","Jonesville",NA
"908","Evington",NA
"909","Duffield",NA
"910","McKenney",NA
"911","Fancy Gap",NA
"912","Goshen",NA
"913","Onley",NA
"914","Exmore",NA
"915","Schuyler",NA
"916","Kenbridge",NA
"917","Penhook",NA
"918","Mollusk",0.929
"919","Toga",NA
"920","Laurel Park",NA
"921","Bayside",NA
"922","Lignum",NA
"923","Winchester",0.91
"924","Lebanon",NA
"925","Tysons",0.913
"926","Mappsburg",NA
"927","Orange",NA
"928","Midlothian",0.913
"929","Calverton",0.914
"930","Fulks Run",NA
"931","Amelia Court House",NA
"932","Boydton",NA
"933","Konnarock",NA
"934","Kilmarnock",0.927
"935","Crockett",NA
"936","Buckingham",NA
"937","Hamilton",0.912
"938","Broadlands",0.913
"939","Mineral",NA
"940","Apple Grove",NA
"941","Susan",0.909
"942","Free Union",NA
"943","Keokee",NA
"944","Cleveland",NA
"945","Fairfax Station",0.914
"946","Bensley",0.913
"947","Lebanon Church",0.92
"948","Brumley Gap",NA
"949","Patrick Springs",NA
"950","Wachapreague",NA
"951","Spencer",NA
"952","Gressitt",0.911
"953","Commonwealth",NA
"954","Oak Level",NA
"955","Adwolf",NA
"956","Cana",NA
"957","Haynesville",0.934
"958","Jarratt",NA
"959","Strasburg",NA
"960","Charles City",0.908
"961","Rose Hill Farms",0.914
"962","Radford",NA
"963","Savageville",NA
"964","Emory",NA
"965","Cartersville",NA
"966","Apple Mountain Lake",0.923
"967","Richmond",0.913
"968","Barracks",NA
"969","Alberta",NA
"970","Luray",NA
"971","Middleburg",0.913
"972","Centreville",0.918
"973","Sherando",0.91
"974","Kire",NA
"975","Drakes Branch",NA
"976","Wicomico Church",0.929
"977","Short Pump",0.913
"978","Fairview Beach",0.909
"979","Lunenburg",NA
"980","Mustoe",NA
"981","Chilhowie",NA
"982","Newington",0.914
"983","Greenbush",NA
"984","Glen Lyn",0.918
"985","Ridgeway",NA
"986","Gargatha",NA
"987","Massanutten",NA
"988","Rustburg",NA
"989","Providence Forge",0.908
"990","Boykins",NA
"991","Lee Mont",NA
"992","Monterey",NA
"993","Dungannon",NA
"994","Wilderness",NA
"995","Allisonia",NA
"996","Rose Hill",NA
"997","Bowling Green",NA
"998","Mappsville",NA
"999","Mountain Road",NA
"1000","Virginia Beach",0.886
"1001","Toms Brook",NA
"1002","Boston",NA
"1003","Elliston",NA
"1004","Gordonsville",NA
"1005","Montvale",NA
"1006","Mount Hermon",NA
"1007","Occoquan",0.914
"1008","Craigsville",NA
"1009","Herndon",0.913
"1010","Troutville",NA
"1011","Greenbackville",NA
"1012","Zuni",0.874
"1013","Manakin",0.913
"1014","McDowell",NA
"1015","Glasgow",NA
"1016","Hayfield",0.914
"1017","Timberville",NA
"1018","Jetersville",NA
"1019","Countryside",0.913
"1020","Mount Crawford",NA
"1021","Woolwine",NA
"1022","Eagle Rock",NA
"1023","Crystal Hill",NA
"1024","Stonega",NA
"1025","Edgerton",NA
"1026","Arrington",NA
"1027","Carrollton",0.874
"1028","Gore",0.926
"1029","Acorn",0.934
"1030","Bastian",NA
"1031","Stafford",0.911
"1032","Hanover",0.913
"1033","Woodlake",0.915
"1034","Fort Mitchell",NA
"1035","Augusta Springs",NA
"1036","Chesapeake",0.891
"1037","Metompkin",NA
"1038","Maurertown",NA
"1039","Tappahannock",0.918
"1040","Yale",NA
"1041","New Baltimore",0.912
"1042","Syria",NA
"1043","Idylwood",0.913
"1044","Urbanna",0.91
"1045","Haysi",NA
"1046","Virgilina",NA
"1047","Mouth of Wilson",NA
"1048","Round Hill",0.911
"1049","Williamsville",NA
"1050","Whitesville",NA
"1051","Catlett",0.918
"1052","Ebony",NA
"1053","Coeburn",NA
"1054","Bassett",NA
"1055","Purcellville",0.914
"1056","Arlington",0.911
"1057","Blackstone",NA
"1058","New River",NA
"1059","Twin Lakes",NA
"1060","Stanleytown",NA
"1061","Appalachia",NA
"1062","Heathsville",0.936
"1063","Covington",NA
"1064","Amonate",NA
"1065","Charlottesville",NA
"1066","Rural Retreat",NA
"1067","Vansant",NA
"1068","Smithfield",0.874
"1069","Lake Monticello",NA
"1070","Villa Heights",NA
"1071","West Springfield",0.914
"1072","Waverly",NA
"1073","Abbott",NA
"1074","Burkeville",NA
"1075","Wallace",NA
"1076","Bull Run Mountain Estates",0.914
"1077","Falling Spring",NA
"1078","Chase Crossing",NA
"1079","Tazewell",NA
"1080","Benns Church",0.874
"1081","Cullen",NA
"1082","Esmont",NA
"1083","Lovettsville",0.916
"1084","Seven Mile Ford",NA
"1085","Brooke",0.911
"1086","Achilles",0.907
"1087","Lewisetta",0.931
"1088","Boones Mill",NA
"1089","Atkins",NA
"1090","Norfolk",0.884
"1091","Belle Haven",NA
"1092","Ladysmith",NA
"1093","Whaleyville",0.893
"1094","Middletown",0.912
"1095","Blue Ridge Shores",NA
"1096","Montclair",0.914
"1097","Dumfries",0.914
"1098","Stuart",NA
"1099","Berryville",0.913
"1100","Templeton",NA
"1101","Winterpock",0.915
"1102","Stevens Creek",NA
"1103","Millboro",NA
"1104","Bracey",NA
"1105","Stanley",NA
"1106","Buchanan",NA
"1107","Gretna",NA
"1108","Elkton",NA
"1109","Moneta",NA
"1110","Glen Wilton",NA
"1111","Eggleston",0.924
"1112","Yogaville",NA
"1113","Damascus",NA
"1114","Rushmere",0.874
"1115","Petersburg",0.914
"1116","Dumbarton",0.913
"1117","Fort Hunt",0.914
"1118","Goldvein",0.91
"1119","Prices Fork",NA
"1120","Rio",NA
"1121","Claremont",0.907
"1122","Sussex",NA
"1123","Hurt",NA
"1124","Fort Chiswell",NA
"1125","Hallwood",NA
"1126","Pungoteague",NA
"1127","Hot Springs",NA
"1128","Manchester",0.913
"1129","Sandy Level",NA
"1130","Chatham",NA
"1131","West Falls Church",0.914
"1132","Weyers Cave",NA
"1133","Walkerton",0.919
"1134","Pearisburg",0.924
"1135","Enon",0.915
"1136","Arvonia",NA
